model,AIME24,AIME25,BIG-Bench_Extra_Hard,DCS-HELD-OUT,HELD-OUT_ENVIRONMENTS,LiveCodeBench-v6,Math-500,OlympiadBench,Omega-500
DeepSeek-R1-Distill-Qwen-1.5B,0.28,0.22666666666666666,0.01154891304347826,,,0.1175,,0.42,0.148
DeepSeek-R1-Distill-Qwen-1.5B-env-256-1200-hf,0.47333333333333333,0.36,0.07269021739130435,,0.5524,0.1732142857142857,0.89,0.5644444444444444,0.2625
DeepSeek-R1-Distill-Qwen-1.5B-env-256-1600-hf,0.4866666666666667,0.36666666666666664,0.08559782608695653,,0.58,0.17714285714285713,0.8916,0.5655555555555556,0.2495
Deepseek-R1-Distill-Qwen-1.5B-env-16-100-hf,0.3333333333333333,0.23333333333333334,0.03804347826086957,,0.3368,0.12571428571428572,,0.46111111111111114,0.1755
Deepseek-R1-Distill-Qwen-1.5B-env-16-200-hf,0.32,0.2866666666666667,0.046875,,0.3624,0.12785714285714286,,0.4722222222222222,0.1865
Deepseek-R1-Distill-Qwen-1.5B-env-16-300-hf,0.36666666666666664,0.2733333333333333,0.04823369565217391,,0.38,0.13464285714285715,,0.482962962962963,0.194
Deepseek-R1-Distill-Qwen-1.5B-env-16-400-hf,0.32666666666666666,0.24666666666666667,0.049592391304347824,,0.3876,0.13214285714285715,,0.47814814814814816,0.194
Deepseek-R1-Distill-Qwen-1.5B-env-16-kl-coef0.005-400-hf,0.24666666666666667,0.28,0.03328804347826087,,0.3544,0.13071428571428573,,0.46370370370370373,0.1805
Deepseek-R1-Distill-Qwen-1.5B-env-16-kl-coef0.01-400-hf,0.38,0.23333333333333334,0.03736413043478261,,0.3484,0.12035714285714286,,0.4596296296296296,0.177
Deepseek-R1-Distill-Qwen-1.5B-env-256-100-hf,0.31333333333333335,0.22666666666666666,0.036684782608695655,,0.3508,0.12678571428571428,,0.4603703703703704,0.1745
Deepseek-R1-Distill-Qwen-1.5B-env-256-200-hf,0.32666666666666666,0.3,0.051630434782608696,,0.3916,0.1357142857142857,,0.4937037037037037,0.193
Deepseek-R1-Distill-Qwen-1.5B-env-256-300-hf,0.38,0.3,0.05298913043478261,,0.4268,0.13857142857142857,,0.5225925925925926,0.203
Deepseek-R1-Distill-Qwen-1.5B-env-256-400-hf,0.43333333333333335,0.34,0.06385869565217392,,0.4532,0.14714285714285713,,0.5255555555555556,0.216
Deepseek-R1-Distill-Qwen-1.5B-env-256-800-hf,0.44,0.29333333333333333,0.058423913043478264,,,0.15928571428571428,,0.5462962962962963,0.2315
Deepseek-R1-Distill-Qwen-1.5B-env-4-100-hf,0.30666666666666664,0.23333333333333334,0.025815217391304348,,0.2692,0.12785714285714286,,0.447037037037037,0.179
Deepseek-R1-Distill-Qwen-1.5B-env-4-200-hf,0.32666666666666666,0.2733333333333333,0.03872282608695652,,0.2912,0.12107142857142857,,0.45,0.1745
Deepseek-R1-Distill-Qwen-1.5B-env-4-300-hf,0.36666666666666664,0.24,0.04551630434782609,,0.3132,0.12214285714285714,,0.46370370370370373,0.179
Deepseek-R1-Distill-Qwen-1.5B-env-4-400-hf,0.30666666666666664,0.3,0.059103260869565216,,0.302,0.13214285714285715,,0.4803703703703704,0.191
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp1-100-hf,0.3333333333333333,0.22,0.033967391304347824,,0.3268,0.12535714285714286,0.852,0.4551851851851852,0.1755
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp1-300-hf,0.4,0.28,0.04483695652173913,,0.3764,0.14,0.8696,0.5025925925925926,0.2035
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp1-400-hf,0.34,0.30666666666666664,0.043478260869565216,,0.3856,0.1467857142857143,0.8692,0.5037037037037037,0.2155
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp1-500-hf,0.4066666666666667,0.32666666666666666,0.051630434782608696,,0.4132,0.1475,0.868,0.4988888888888889,0.2035
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp1-600-hf,0.41333333333333333,0.31333333333333335,0.05434782608695652,,0.4196,0.15107142857142858,0.8744,0.5011111111111111,0.2205
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp2-100-hf,0.3466666666666667,0.24,0.028532608695652172,,0.3312,0.12214285714285714,0.848,0.44222222222222224,0.183
