model,AIME24,AIME25,BIG-Bench_Extra_Hard,DCS-HELD-OUT,HELD-OUT_ENVIRONMENTS,LiveCodeBench-v6,Math-500,OlympiadBench,Omega-500
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp2-300-hf,0.35333333333333333,0.28,0.042798913043478264,,0.3756,0.13892857142857143,0.8628,0.4888888888888889,0.1965
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp2-400-hf,0.42,0.30666666666666664,0.04483695652173913,,0.3832,0.14214285714285715,0.8712,0.5025925925925926,0.1925
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp2-500-hf,0.38666666666666666,0.30666666666666664,0.04551630434782609,,0.3976,0.14142857142857143,0.8644,0.5162962962962963,0.2015
Deepseek-R1-Distill-Qwen-1.5B-env-4-comp2-600-hf,0.38666666666666666,0.29333333333333333,0.05502717391304348,,0.3988,0.14821428571428572,0.8724,0.5037037037037037,0.2025
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-100-hf,,,,0.094,0.3248,,,,
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-sub-100-hf,0.28,0.28,0.036005434782608696,0.014,0.31,0.11964285714285715,0.8444,0.4759259259259259,0.164
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-sub-125-hf,,,,0.022,0.3064,,,,
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-sub-150-hf,0.30666666666666664,0.2733333333333333,0.035326086956521736,,0.2896,0.12642857142857142,0.844,0.48703703703703705,0.172
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-sub-200-hf,0.24666666666666667,0.25333333333333335,0.029211956521739132,,0.3204,0.13035714285714287,0.8424,0.482962962962963,0.1725
Deepseek-R1-Distill-Qwen-1.5B-env-DCS-sub-50-hf,0.31333333333333335,0.24,0.022418478260869564,,0.2856,0.12357142857142857,0.8412,0.45037037037037037,0.1725
Deepseek-R1-Distill-Qwen-1.5B-env-rand16_1-400-hf,0.4533333333333333,0.32666666666666666,0.04619565217391304,,0.4516,0.1492857142857143,,0.5214814814814814,0.2065
Deepseek-R1-Distill-Qwen-1.5B-env-rand16_2-400-hf,0.4066666666666667,0.28,0.04823369565217391,,0.43,0.14357142857142857,,0.502962962962963,0.192
