model,AIME24,AIME25,BIG-Bench_Extra_Hard,LiveCodeBench-v6,OlympiadBench,Omega-500
Deepseek-R1-Distill-Qwen-1.5B-env-16-100-hf,0.3,0.26666666666666666,0.029891304347826088,0.12178571428571429,0.45925925925925926,0.1945
Deepseek-R1-Distill-Qwen-1.5B-env-16-200-hf,0.3,0.28,0.036005434782608696,0.13,0.4633333333333333,0.195
Deepseek-R1-Distill-Qwen-1.5B-env-16-300-hf,0.32666666666666666,0.2866666666666667,0.046875,0.13464285714285715,0.47333333333333333,0.196
Deepseek-R1-Distill-Qwen-1.5B-env-16-400-hf,0.3333333333333333,0.30666666666666664,0.06114130434782609,0.13392857142857142,0.4766666666666667,0.2
Deepseek-R1-Distill-Qwen-1.5B-env-16-kl-coef0.005-400-hf,0.3466666666666667,0.24,0.03940217391304348,0.125,0.4651851851851852,0.194
Deepseek-R1-Distill-Qwen-1.5B-env-16-kl-coef0.01-400-hf,0.3333333333333333,0.26666666666666666,0.03125,0.11714285714285715,0.457037037037037,0.188
Deepseek-R1-Distill-Qwen-1.5B-env-256-100-hf,0.2733333333333333,0.24666666666666667,0.034646739130434784,0.12464285714285714,0.4648148148148148,0.175
Deepseek-R1-Distill-Qwen-1.5B-env-256-200-hf,0.3466666666666667,0.2733333333333333,0.04551630434782609,0.13142857142857142,0.5077777777777778,0.1895
Deepseek-R1-Distill-Qwen-1.5B-env-256-300-hf,0.32666666666666666,0.3333333333333333,0.059782608695652176,0.14392857142857143,0.5125925925925926,0.2225
Deepseek-R1-Distill-Qwen-1.5B-env-256-400-hf,0.38,0.2866666666666667,0.06657608695652174,0.1432142857142857,0.5270370370370371,0.2095
Deepseek-R1-Distill-Qwen-1.5B-env-256-800-hf,0.44666666666666666,0.34,0.07472826086956522,0.15607142857142858,0.5455555555555556,0.2325
Deepseek-R1-Distill-Qwen-1.5B-env-4-100-hf,0.29333333333333333,0.23333333333333334,0.02717391304347826,0.12535714285714286,0.44185185185185183,0.171
Deepseek-R1-Distill-Qwen-1.5B-env-4-200-hf,0.3333333333333333,0.26,0.029891304347826088,0.12357142857142857,0.4514814814814815,0.179
Deepseek-R1-Distill-Qwen-1.5B-env-4-300-hf,0.32,0.32,0.046875,0.12678571428571428,0.47,0.188
Deepseek-R1-Distill-Qwen-1.5B-env-4-400-hf,0.31333333333333335,0.3,0.057065217391304345,0.1392857142857143,0.48777777777777775,0.1905
Deepseek-R1-Distill-Qwen-1.5B-env-rand16_1-400-hf,0.37333333333333335,0.32,0.05502717391304348,0.145,0.5348148148148149,0.209
Deepseek-R1-Distill-Qwen-1.5B-env-rand16_2-400-hf,0.41333333333333333,0.31333333333333335,0.04076086956521739,0.1432142857142857,0.4988888888888889,0.194
